league,name,position,team,description,line_score,stat_type,flash_sale_line_score,is_promo,start_time,updated_at
SOCCER,Bernd Leno,GK,Fulham,Crystal Palace,30.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:27:12-05:00
SOCCER,Vicente Guaita,GK,Crystal Palace,Fulham,27.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:19:47-05:00
SOCCER,Wilfried Zaha,F,Crystal Palace,Fulham,31.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:34:11-05:00
SOCCER,Joao Palhinha,CM,Fulham,Crystal Palace,34.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:38:25-05:00
SOCCER,Joachim Andersen,CB,Crystal Palace,Fulham,77.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:27:25-05:00
SOCCER,Andreas Pereira,M,Fulham,Crystal Palace,27.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:35:57-05:00
SOCCER,Eberechi Eze,CM,Crystal Palace,Fulham,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:07:47-05:00
SOCCER,Odsonne Edouard,F,Crystal Palace,Fulham,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:06:44-05:00
SOCCER,Carlos Vinicius,F,Fulham,Crystal Palace,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:56:45-05:00
SOCCER,Aleksandar Mitrovic,F,Fulham,Crystal Palace,1.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:09:17-05:00
SOCCER,Andreas Pereira,M,Fulham,Crystal Palace,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:07:47-05:00
SOCCER,Cheick Doucouré,M,RC Lens,Fulham,1,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:08:40-05:00
SOCCER,Michael Olise,M,Crystal Palace,Fulham,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:05:52-05:00
SOCCER,Joachim Andersen,CB,Crystal Palace,Fulham,4.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:31:53-05:00
SOCCER,Joao Palhinha,CM,Fulham,Crystal Palace,1.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:05:52-05:00
SOCCER,Issa Diop,M,Fulham,Crystal Palace,2,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:29:34-05:00
SOCCER,Wilfried Zaha,F,Crystal Palace,Fulham,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:32:17-05:00
SOCCER,Jordan Ayew,F,Crystal Palace,Fulham,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:50:24-05:00
SOCCER,Eberechi Eze,CM,Crystal Palace,Fulham,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:19:47-05:00
SOCCER,Jeffrey Schlupp,M,Crystal Palace,Fulham,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:36:56-05:00
SOCCER,Cheick Doucouré,M,RC Lens,Fulham,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:06:13-05:00
SOCCER,Andreas Pereira,M,Fulham,Crystal Palace,0.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:19:47-05:00
SOCCER,Joao Palhinha,CM,Fulham,Crystal Palace,4,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:57:55-05:00
SOCCER,Issa Diop,M,Fulham,Crystal Palace,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:48:39-05:00
SOCCER,Tim Ream,D,Fulham,Crystal Palace,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:19:47-05:00
SOCCER,Jordan Ayew,F,Crystal Palace,Fulham,1,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:19:47-05:00
SOCCER,Eberechi Eze,CM,Crystal Palace,Fulham,2,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:35:57-05:00
SOCCER,Jeffrey Schlupp,M,Crystal Palace,Fulham,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:19:47-05:00
SOCCER,Michael Olise,M,Crystal Palace,Fulham,1.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:35:57-05:00
SOCCER,Andreas Pereira,M,Fulham,Crystal Palace,2.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:51:08-05:00
SOCCER,Wilfried Zaha,F,Crystal Palace,Fulham,0.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:47:06-05:00
SOCCER,Cheick Doucouré,M,RC Lens,Fulham,1.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:56:35-05:00
SOCCER,Tim Ream,D,Fulham,Crystal Palace,1.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:19:47-05:00
NHL,Alex Ovechkin,F,WSH,NYR,0.5,Goals,,False,2022-12-27T19:00:00-05:00,2022-12-24T10:03:36-05:00
NHL,David Pastrnak,F,BOS,OTT,0.5,Goals,,False,2022-12-27T19:00:00-05:00,2022-12-24T10:09:40-05:00
NHL,Auston Matthews,F,TOR,STL,0.5,Goals,,False,2022-12-27T20:00:00-05:00,2022-12-24T10:09:40-05:00
NHL,Connor McDavid,F,EDM,CGY,0.5,Goals,,False,2022-12-27T21:00:00-05:00,2022-12-24T10:08:28-05:00
SOCCER,Neal Maupay,F,Everton,Wolverhampton,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:56-05:00
SOCCER,Diego Costa,F,Wolverhampton,Everton,2.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:32:18-05:00
SOCCER,Demarai Gray,M,Everton,Wolverhampton,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:56-05:00
SOCCER,Hee-Chan Hwang,F,Wolverhampton,Everton,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:17:31-05:00
